#position "energy_(angle 1)" "energy_(angle 2)" "energy_(angle 3)"
0.0 -9.718966462339992 10.310545547575884 31.379781142522667
0.2 -4.371737095419918 12.12623430460639 30.520915746992276
0.4 -0.22934729673414989 12.644752736228693 30.223189726838886
0.6 3.653221445042928 13.427413406924519 30.84484440233557
0.8 7.657811843546126 16.076741034469705 30.243075726413686
1.0 11.132676671916201 18.466979356625878 28.443531613158093
1.2 15.445066937797803 22.191031002821926 28.427035417556247
1.4 19.23795996850381 27.430861585991046 26.39847158273977
1.6 22.878121117408828 31.326701272083223 23.26398295022664
1.8 26.551904958452397 36.25098171061279 18.343108913449854
2.0 31.76414178301802 43.13894958003637 15.993784868234938
2.2 35.523900564231155 48.973155097104005 10.222030614976282
2.4 38.551300834288945 56.61517425379279 3.562672910510778
2.6 42.72736021272452 64.51054250851737 -4.253122971558749
2.8 46.399311705578214 73.66766107254844 -13.692284822482211
3.0 50.910073003165444 82.25840488528713 -22.082903184830627
