# time time**2 time**3
0.0 0.0 0.0
0.2 0.04000000000000001 0.008000000000000002
0.4 0.16000000000000003 0.06400000000000002
0.6000000000000001 0.3600000000000001 0.2160000000000001
0.8 0.6400000000000001 0.5120000000000001
1.0 1.0 1.0
1.2000000000000002 1.4400000000000004 1.7280000000000009
1.4000000000000001 1.9600000000000004 2.7440000000000007
1.6 2.5600000000000005 4.096000000000001
1.8 3.24 5.832000000000001
2.0 4.0 8.0
2.2 4.840000000000001 10.648000000000003
2.4000000000000004 5.760000000000002 13.824000000000007
2.6 6.760000000000001 17.576
2.8000000000000003 7.840000000000002 21.952000000000005
3.0 9.0 27.0
3.2 10.240000000000002 32.76800000000001
3.4000000000000004 11.560000000000002 39.30400000000001
3.6 12.96 46.656000000000006
3.8000000000000003 14.440000000000001 54.872000000000014
4.0 16.0 64.0
4.2 17.64 74.08800000000001
4.4 19.360000000000003 85.18400000000003
4.6000000000000005 21.160000000000004 97.33600000000003
4.800000000000001 23.040000000000006 110.59200000000006
